"99";"tt0993846";"The Wolf of Wall Street";"2013";"3h";"Martin Scorsese";"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini";"8.2";"Comedy"
"100";"tt0012349";"The Kid";"1921";"1h 8m";"Charles Chaplin";"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini";"8.2";"Comedy"
"101";"tt0068646";"The Godfather";"1972";"2h 55m";"Francis Ford Coppola";"Marlon Brando, Al Pacino, James Caan";"9.2";"Crime"
"102";"tt0468569";"The Dark Knight";"2008";"2h 32m";"Christopher Nolan";"Marlon Brando, Al Pacino, James Caan";"9";"Crime"
"103";"tt0071562";"The Godfather Part II";"1974";"3h 22m";"Francis Ford Coppola";"Marlon Brando, Al Pacino, James Caan";"9";"Crime"
"104";"tt0050083";"12 Angry Men";"1957";"1h 36m";"Sidney Lumet";"Marlon Brando, Al Pacino, James Caan";"9";"Crime"
"105";"tt0110912";"Pulp Fiction";"1994";"2h 34m";"Quentin Tarantino";"Marlon Brando, Al Pacino, James Caan";"8.9";"Crime"
"106";"tt0099685";"GoodFellas";"1990";"2h 25m";"Martin Scorsese";"Marlon Brando, Al Pacino, James Caan";"8.7";"Crime"
"107";"tt0114369";"Seven";"1995";"2h 7m";"David Fincher";"Marlon Brando, Al Pacino, James Caan";"8.6";"Crime"
"108";"tt0102926";"The Silence of the Lambs";"1991";"1h 58m";"Jonathan Demme";"Marlon Brando, Al Pacino, James Caan";"8.6";"Crime"
"109";"tt0317248";"City of God";"2002";"2h 10m";"Fernando Meirelles";"Marlon Brando, Al Pacino, James Caan";"8.6";"Crime"
"110";"tt0120689";"The Green Mile";"1999";"3h 9m";"Frank Darabont";"Marlon Brando, Al Pacino, James Caan";"8.6";"Crime"
"111";"tt0110413";"Leon";"1994";"1h 50m";"Luc Besson";"Marlon Brando, Al Pacino, James Caan";"8.5";"Crime"
"112";"tt0120586";"American History X";"1998";"1h 59m";"Tony Kaye";"Marlon Brando, Al Pacino, James Caan";"8.5";"Crime"
"113";"tt0407887";"The Departed";"2006";"2h 31m";"Martin Scorsese";"Marlon Brando, Al Pacino, James Caan";"8.5";"Crime"
